#%modelname
#Red, Green, Blue, Alpha, OffsetX, OffsetY, OffsetZ, CustomSize, BlinkType, NoDistance, DrawSearchlight
#0.45 - custom size reserved for traffic lights

%AFtri_lamp
255 255 255 255 -18.410034 709.188232 13.9390354 1.00 00 0 0
255 255 255 255 -27.893677 677.939026 13.9390354 1.00 00 0 0
255 255 000 255 -25.755005 675.800293 13.9390354 1.00 00 0 0
255 255 000 255 -52.102539 702.148071 13.9390354 1.00 00 0 0
255 255 255 255 -70.070313 679.382874 13.9390354 1.00 00 0 0
255 255 000 255 -72.468994 681.781677 13.9390354 1.00 00 0 0
255 255 000 255 -46.121460 655.433838 13.9390354 1.00 00 0 0
255 255 255 255 -48.260132 657.572571 13.9390354 1.00 00 0 0
255 255 000 255 35.3443604 736.899536 13.9390354 1.00 00 0 0
255 255 255 255 -59.142944 668.455383 13.9390354 1.00 00 0 0
255 255 000 255 55.7108154 757.265991 13.9390354 1.00 00 0 0
%airprtwlkto1_las
160 218 220 255 -115.52344 -17.453613 4.12817383 1.00 02 0 0
160 218 220 255 -34.319580 -17.453613 4.12817383 1.00 02 0 0
160 218 220 255 45.1641846 -17.453613 4.12817383 1.00 02 0 0
160 218 220 255 127.011108 -17.453613 4.12817383 1.00 02 0 0
%airuntest_las
236 068 060 255 0.01464800 0.00158700 0.24846600 1.20 02 0 1
%androm
018 253 000 255 22.0089951 -7.3234119 2.03887701 0.30 00 0 0
255 000 000 255 -21.992262 -7.2924328 2.04298806 0.30 00 0 0
255 255 255 255 0.00000000 -21.344395 9.01437473 0.30 00 0 0
%app_light_sfs05e
254 255 164 255 7.39111280 29.3049622 3.18993807 1.00 00 0 0
254 255 164 255 3.96850610 1.86319005 3.18993807 1.00 00 0 0
254 255 164 255 9.50097656 27.1946716 3.18993807 1.00 00 0 0
254 255 164 255 1.85864305 3.97347999 3.18993807 1.00 00 0 0
254 255 164 255 17.2906494 19.4054565 3.18993807 1.00 00 0 0
254 255 164 255 19.4005127 17.2951660 3.18993807 1.00 00 0 0
254 255 164 255 29.2999878 7.39565992 3.18993807 1.00 00 0 0
254 255 164 255 27.1901245 9.50595093 3.18993807 1.00 00 0 0
254 255 164 255 -11.400269 -13.505615 3.18993807 1.00 00 0 0
254 255 164 255 -28.902710 -26.787903 3.18993807 1.00 00 0 0
254 255 164 255 -13.510132 -11.395325 3.18993807 1.00 00 0 0
254 255 164 255 -26.792847 -28.898193 3.18993807 1.00 00 0 0
%at400
000 238 011 255 30.5609798 -5.9342918 4.35912704 0.30 00 0 0
245 000 000 255 -30.547009 -5.9342918 4.35912704 0.30 00 0 0
255 255 255 255 0.00000000 -25.441422 17.3507061 0.30 00 0 0
%baggage
255 255 255 255 0.48723900 -1.1064910 1.12903798 0.20 00 0 0
%barrelexpos
255 059 059 255 0.00310500 -0.2566300 0.18892500 0.30 00 0 0
%basejump_target
255 255 255 255 0.00809900 0.00362000 0.00000000 1.00 02 0 0
%baybridge2_sfse
255 000 000 255 38.4845085 -18.216524 83.4015045 1.00 02 0 0
255 000 000 255 38.4789772 18.3384247 83.4015045 1.00 02 0 0
%baybridge3_sfse
255 000 000 255 -100.82995 18.3670712 89.5265045 1.00 02 0 0
255 000 000 255 -100.86965 -18.140587 89.5265045 1.00 02 0 0
%bb_pickup
091 131 212 255 0.15578599 0.00088900 0.02147200 1.20 02 0 0
%beagle
000 255 012 255 10.0610991 0.60635501 0.36614501 0.30 00 0 0
255 000 000 255 -10.069416 0.64144802 0.36614799 0.30 00 0 0
255 255 255 255 0.00000000 -9.2127361 2.39474797 0.30 00 0 0
%bigsfnlite02
141 255 232 255 1.04907203 -26.218506 -0.0805360 1.00 00 0 0
141 255 232 255 -0.6950680 26.8452148 1.94085705 1.00 00 0 0
%bigsfnlite05
141 255 232 255 -6.9675288 -53.540771 -6.9774170 1.00 00 0 0
141 255 232 255 -0.9719240 0.02563500 2.53530908 1.00 00 0 0
141 255 232 255 7.23168898 53.4155273 9.54266357 1.00 00 0 0
%bigsfnlite08
141 255 232 255 1.75707996 -53.499268 -21.715256 1.00 00 0 0
141 255 232 255 1.75707996 0.02294900 5.15803480 1.00 00 0 0
141 255 232 255 -2.0390630 53.5588379 24.4927673 1.00 00 0 0
%bigsfnlite10
141 255 232 255 31.2648926 -57.847900 9.07751465 1.00 00 0 0
141 255 232 255 -23.505127 4.32397509 2.26162696 1.00 00 0 0
141 255 232 255 -31.175537 57.9562988 -6.6604309 1.00 00 0 0
%bigsfnlite12
141 255 232 255 56.6308594 0.17089801 -10.947449 1.00 00 0 0
141 255 232 255 -56.268311 0.26001000 12.9726410 1.00 00 0 0
%bigsfnlite14
141 255 232 255 -57.854004 4.40747118 16.7387085 1.00 00 0 0
141 255 232 255 57.9045410 -4.4714360 -14.435654 1.00 00 0 0
%bigsfnlite16
141 255 232 255 -57.847168 -3.4519041 3.65889001 1.00 00 0 0
141 255 232 255 58.0878906 2.70336890 -0.8789060 1.00 00 0 0
%bigwhiete_sfe
255 000 000 255 -36.914429 38.3817139 57.6656647 1.20 00 0 0
255 000 000 255 37.2838135 38.3677368 57.6656647 1.20 00 0 0
255 000 000 255 -40.465698 -37.220154 57.6656647 1.20 00 0 0
255 000 000 255 40.2617188 -37.166199 57.6656647 1.20 00 0 0
%billbd1
255 255 255 255 -1.9154210 1.90275598 2.49254394 0.70 00 0 0
255 255 255 255 -1.8319401 3.83628106 2.48856211 0.70 00 0 0
255 255 255 255 -1.9094540 -0.5782620 2.48856211 0.70 00 0 0
255 255 255 255 -1.9148560 -2.8484039 2.48856497 0.70 00 0 0
255 255 255 255 -1.8360749 -5.0108719 2.48856211 0.70 00 0 0
255 255 255 255 -1.8766170 -7.1567841 2.48856497 0.70 00 0 0
%billbd2
255 255 255 255 -5.3876801 -4.2750092 1.27380002 0.70 00 0 0
255 255 255 255 -4.0121312 5.58235216 1.24905002 0.70 00 0 0
255 255 255 255 -4.2906651 3.70541406 1.26148796 0.70 00 0 0
255 255 255 255 -4.5193481 1.61491394 1.23727000 0.70 00 0 0
255 255 255 255 -4.8574371 -0.4275510 1.26724398 0.70 00 0 0
255 255 255 255 -5.1236110 -2.5113831 1.26116002 0.70 00 0 0
255 255 255 255 5.16632080 -4.3536382 1.23068202 0.70 00 0 0
255 255 255 255 4.65191698 -2.4103999 1.23325706 0.70 00 0 0
255 255 255 255 4.75060987 -0.6465150 1.28010595 0.70 00 0 0
255 255 255 255 4.35267591 1.67434704 1.23067904 0.70 00 0 0
255 255 255 255 4.13690186 3.59703112 1.23068202 0.70 00 0 0
255 255 255 255 4.11508179 5.59194899 1.29039800 0.70 00 0 0
%billbd3
255 255 255 255 -1.8228149 6.98557997 2.14304900 0.70 00 0 0
255 255 255 255 -1.8789670 4.33654785 2.14620399 0.70 00 0 0
255 255 255 255 -1.8853760 1.56565905 2.14899302 0.70 00 0 0
255 255 255 255 -1.8788760 -1.3209530 2.14568496 0.70 00 0 0
255 255 255 255 -1.8984530 -4.1045070 2.15473008 0.70 00 0 0
255 255 255 255 -1.8815310 -6.7680588 2.14650202 0.70 00 0 0
%blacksky_sfse
255 000 000 255 26.4971924 2.37561011 148.982483 1.00 00 0 0
255 000 000 255 23.7248535 7.22515917 148.982483 1.00 00 0 0
%bollardlight
255 255 255 255 -0.0100400 -0.0472110 0.32547700 0.75 00 0 1
%bonaventura_lan
255 082 035 255 -14.250977 -6.1916499 46.7791595 1.00 02 0 0
255 082 035 255 -21.177124 -13.132690 46.7791595 1.00 02 0 0
255 082 035 255 -14.040161 -20.060913 46.7791595 1.00 02 0 0
255 082 035 255 -14.250977 23.2137451 46.7791595 1.00 02 0 0
255 082 035 255 -21.177124 16.2727051 46.7791595 1.00 02 0 0
255 082 035 255 -14.040161 9.34448242 46.7791595 1.00 02 0 0
255 082 035 255 13.8817139 9.34020996 46.7791595 1.00 02 0 0
255 082 035 255 20.8078613 16.2812500 46.7791595 1.00 02 0 0
255 082 035 255 13.6708984 23.2094727 46.7791595 1.00 02 0 0
255 082 035 255 13.8817139 -20.243042 46.7791595 1.00 02 0 0
255 082 035 255 20.8078613 -13.302002 46.7791595 1.00 02 0 0
255 082 035 255 13.6708984 -6.3737788 46.7791595 1.00 02 0 0
%bouy
255 000 000 255 0.03767900 0.05954000 10.2826271 1.20 00 0 0
255 000 000 255 0.03767900 0.05954000 12.5506706 1.00 00 0 0
%bulkheadlight
255 255 255 255 0.00000000 0.00000000 0.00000000 0.50 00 0 0
%burgerland02
137 140 090 255 27.3763428 19.5598145 2.35583997 1.20 00 0 0
137 140 090 255 25.5776367 -8.9116211 3.13393807 1.20 00 0 0
137 140 090 255 27.3765869 21.1606445 2.35583997 1.20 00 0 0
137 140 090 255 2.06201196 -1.7697750 8.88396072 1.20 00 0 0
137 140 090 255 5.69689894 40.8452148 1.59633398 1.20 00 0 0
137 140 090 255 7.29772902 40.8452148 1.59633398 1.20 00 0 0
137 140 090 255 5.91516113 -1.7697750 8.88396072 1.20 00 0 0
137 140 090 255 27.3413086 -10.692139 3.13393807 1.20 00 0 0
137 140 090 255 -20.342896 -12.795410 3.13393807 1.20 00 0 0
137 140 090 255 -20.342896 -9.8808594 3.13393807 1.20 00 0 0
%burgerland1
137 140 090 255 -2.2987061 -1.7526860 9.30348969 1.20 00 0 0
137 140 090 255 -27.325317 19.5405273 2.21576309 1.20 00 0 0
137 140 090 255 -5.7399902 33.5395508 2.48278093 1.20 00 0 0
137 140 090 255 -7.3883061 33.5395508 2.48278093 1.20 00 0 0
137 140 090 255 19.5783691 -22.359619 3.32056403 1.20 00 0 0
137 140 090 255 -27.325317 20.9768066 2.21576309 1.20 00 0 0
137 140 090 255 21.3236084 -22.359619 3.32056403 1.20 00 0 0
137 140 090 255 -5.6330571 -1.7526860 9.30348969 1.20 00 0 0
137 140 090 255 35.1525879 32.3071289 3.65345597 1.20 00 0 0
137 140 090 255 33.4986572 32.3071289 3.65345597 1.20 00 0 0
%capitrec1_lawn
231 000 000 255 14.6096191 7.01452589 50.8175964 1.20 05 0 0
%cargobob
255 255 255 255 0.00000000 -11.865214 2.76952600 0.30 00 0 0
255 255 255 255 0.00000100 6.80265903 -1.7990640 0.30 00 0 0
%carrier_bits_sfse
255 000 000 255 -25.195435 2.51757789 7.83700180 1.00 00 0 0
255 000 000 255 20.8096924 5.99511719 17.7295609 1.00 00 0 0
255 000 000 255 16.8627930 5.99331713 17.7295609 1.00 00 0 0
010 218 000 255 16.8430176 -6.1066589 17.7295609 1.00 00 0 0
010 218 000 255 20.7908936 -6.0803218 17.7295609 1.00 00 0 0
255 000 000 255 -21.965942 2.51937890 7.83700180 1.00 00 0 0
010 218 000 255 -25.215210 -2.5080259 7.83700180 1.00 00 0 0
010 218 000 255 -21.984741 -2.4816890 7.83700180 1.00 00 0 0
255 000 000 255 -25.195435 2.51757789 -8.8750496 1.00 00 0 0
010 218 000 255 -25.215210 -2.5080259 -8.8750496 1.00 00 0 0
010 218 000 255 -21.984741 -2.4816890 -8.8750496 1.00 00 0 0
255 000 000 255 -21.965942 2.51937890 -8.8750496 1.00 00 0 0
%casinoblock3
120 120 120 255 68.8981934 -50.256226 -29.008673 1.20 00 0 0
120 120 120 255 67.2788086 -50.256226 -29.008673 1.20 00 0 0
%casinoblock3_nt
%casinoblock41_nt
%chinalamp_sf
255 148 052 255 -0.0188030 0.01227600 3.62815499 1.20 00 0 0
%circuslampost03
255 015 015 255 -1.6809080 -2.9333501 9.96313953 1.20 00 0 1
218 218 218 255 3.28833008 -0.0126950 9.96313953 1.20 00 0 1
015 128 255 255 -1.7177730 2.88476610 9.96313953 1.20 00 0 1
%cj_bag_reclaim
223 206 148 255 24.9267578 11.7038040 2.11950707 0.80 00 0 0
223 206 148 255 10.9665527 11.7038040 2.11950707 0.80 00 0 0
223 206 148 255 -0.7141110 11.7038040 2.11950707 0.80 00 0 0
223 206 148 255 -16.143188 11.7038040 2.11950707 0.80 00 0 0
223 206 148 255 -16.143188 -3.1741371 2.11950707 0.80 00 0 0
223 206 148 255 -0.7141110 -3.1741371 2.11950707 0.80 00 0 0
223 206 148 255 10.9665527 -3.1741371 2.11950707 0.80 00 0 0
223 206 148 255 24.9267578 -3.1741371 2.11950707 0.80 00 0 0
223 206 148 255 11.7298584 4.11213684 2.11950707 0.80 00 0 0
223 206 148 255 -2.6905520 4.11213684 2.11950707 0.80 00 0 0
%cj_traffic_light3
255 000 000 255 -0.2654250 -0.1657790 4.63759613 0.45 00 0 0
255 142 000 255 -0.2654250 -0.1657790 4.38747692 0.45 00 0 0
000 255 000 255 -0.2654250 -0.1657790 4.11343288 0.45 00 0 0
%cj_traffic_light4
255 000 000 255 -3.2385011 -0.0538710 5.62209320 0.45 00 0 0
255 128 000 255 -3.2385011 -0.0538710 5.37197399 0.45 00 0 0
000 255 000 255 -3.2385011 -0.0538710 5.09792900 0.45 00 0 0
255 000 000 255 0.02552200 -0.1633070 3.00372791 0.45 00 0 0
255 142 000 255 0.02552200 -0.1633070 2.75360894 0.45 00 0 0
000 255 000 255 0.02552200 -0.1633070 2.47956491 0.45 00 0 0
255 148 052 255 -2.0455611 0.11908000 7.59087706 1.00 00 0 0
%cj_traffic_light5
255 000 000 255 0.09091600 -0.2518840 2.98028994 0.45 00 0 0
255 128 000 255 0.09091600 -0.2518840 2.73017192 0.45 00 0 0
000 255 000 255 0.09091600 -0.2518840 2.45612693 0.45 00 0 0
255 148 052 255 -1.6899260 0.01702900 6.00707912 1.00 00 0 0
%coastg
238 164 099 255 0.00000000 -2.9744310 2.32811594 1.00 00 0 0
%containercrane_04
255 000 000 255 0.05683100 2.68653893 25.5639114 1.00 00 0 0
%controltower_sfse
255 000 000 255 -19.879272 6.47526598 43.3670044 1.00 02 0 0
%copbits_sfe
255 005 005 255 -11.131226 -9.9292603 3.07968092 1.00 00 0 0
255 005 005 255 -11.131226 12.2606201 3.07968092 1.00 00 0 0
255 005 005 255 11.4421387 12.2606201 3.07968092 1.00 00 0 0
255 005 005 255 11.4421387 -9.9931030 3.07968092 1.00 00 0 0
255 005 005 255 25.3452148 7.43359423 23.1525764 1.00 00 0 0
255 005 005 255 21.2342529 12.5067749 23.2538605 1.00 00 0 0
255 005 005 255 87.4523926 -14.907776 77.3316498 1.00 00 0 0
255 005 005 255 28.1715088 12.6304321 23.1525764 1.00 00 0 0
%corvinsign_sfse
255 255 255 255 4.36596203 4.56627417 -4.2437520 1.00 00 0 0
255 255 255 255 4.36895323 -1.2460790 -4.2437520 1.00 00 0 0
%cropdust
255 255 255 255 0.00000000 -2.3606119 1.15985703 0.20 00 0 0
156 000 000 255 -5.4716210 1.55825496 1.19612896 0.20 00 0 0
000 102 007 255 5.46885490 1.55739605 1.19748199 0.20 00 0 0
%cxrf_floodlite_
179 249 227 255 -1.4160800 -0.2119400 10.3593655 1.20 00 0 0
179 249 227 255 0.01019000 -0.3277850 10.3593655 1.20 00 0 0
179 249 227 255 1.39153695 -0.2101090 10.3593655 1.20 00 0 0
%des_transtower
255 039 039 255 0.22284500 -0.4172870 113.501358 1.20 02 0 0
%dodo
052 255 057 255 6.18715477 0.64193797 1.01721299 0.20 02 0 0
255 052 052 255 -6.1406078 0.64193797 1.01721299 0.20 02 0 0
255 255 255 255 0.00000000 -6.1544981 1.89994299 0.20 02 0 0
%donut01_lawn
%doublestreetlght1
167 255 242 255 2.72566199 1.03750801 4.81060314 1.20 00 0 0
%freighter2b_sfe
255 039 039 255 42.7827148 -0.1654050 20.1967564 1.00 05 0 0
255 255 210 255 42.1395264 -0.1654050 16.6199970 1.00 00 0 0
%gay_lamppost
254 117 134 255 -1.3009140 0.17199300 3.60124803 1.00 00 0 1
%gay_traffic_light
255 255 221 255 -2.0868859 0.11295300 7.52668381 1.00 00 0 0
255 000 000 255 -3.2400639 -0.1878740 5.62209320 0.45 00 0 0
255 128 000 255 -3.2400639 -0.1878740 5.37197399 0.45 00 0 0
000 255 000 255 -3.2400639 -0.1878740 5.09792900 0.45 00 0 0
255 000 000 255 0.02395900 -0.2442630 3.00372791 0.45 00 0 0
255 142 000 255 0.02395900 -0.2442630 2.75360894 0.45 00 0 0
000 255 000 255 0.02395900 -0.2442630 2.47956491 0.45 00 0 0
255 148 052 255 -2.0471239 0.10811600 7.59087706 1.00 00 0 0
%hashblock1_08_sfs
%hc_stadlight1_sfs
255 255 255 255 -37.061279 19.3838043 3.67422104 1.00 00 0 0
255 255 255 255 -37.462402 18.8703308 3.67422104 1.00 00 0 0
255 255 255 255 -36.631104 19.9343262 3.67422104 1.00 00 0 0
255 255 255 255 37.5227051 19.6131287 3.67422104 1.00 00 0 0
255 255 255 255 37.0092773 20.0142670 3.67422104 1.00 00 0 0
255 255 255 255 38.0732422 19.1829681 3.67422104 1.00 00 0 0
255 255 255 255 -37.426758 -19.566284 3.67422104 1.00 00 0 0
255 255 255 255 -36.913330 -19.967407 3.67422104 1.00 00 0 0
255 255 255 255 -37.977295 -19.136108 3.67422104 1.00 00 0 0
255 255 255 255 37.1191406 -19.798218 3.67422104 1.00 00 0 0
255 255 255 255 36.6889648 -20.348816 3.67422104 1.00 00 0 0
255 255 255 255 37.5202637 -19.284821 3.67422104 1.00 00 0 0
%helipad1_las
225 080 035 255 4.08496094 16.5605469 0.28479001 1.00 02 0 0
225 080 035 255 4.13708496 -20.019775 0.28479001 1.00 02 0 0
225 080 035 255 -38.759033 -20.081055 0.28479001 1.00 02 0 0
225 080 035 255 -38.811157 16.4992676 0.28479001 1.00 02 0 0
%helix_barrier
228 145 000 255 14.1521950 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 -9.1740494 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 10.8688278 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 9.08906555 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 5.75378418 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 -5.7775121 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 -10.925835 0.03344700 0.98885697 1.20 00 0 0
228 145 000 255 -14.233109 0.03344700 0.98885697 1.20 00 0 0
%hubgirders_sfse
254 255 175 255 -4.4433589 -12.065369 -1.3948040 1.00 00 0 0
254 255 175 255 -4.4484859 -0.0118260 -1.3948040 1.00 00 0 0
254 255 175 255 4.44946289 -0.0132750 -1.3948040 1.00 00 0 0
254 255 175 255 4.44628906 12.0424652 -1.3948040 1.00 00 0 0
056 056 056 255 0.02905300 12.8116760 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 12.3331451 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 11.8546143 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 11.3760834 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 4.69955397 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 4.22102404 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 3.74249291 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 3.26396203 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 -3.2952731 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 -3.7738039 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 -4.2523351 -0.3600180 0.10 00 0 0
056 056 056 255 0.02905300 -4.7308650 -0.3600180 0.10 00 0 0
069 069 069 255 5.11755419 -9.8187103 -1.2304740 0.10 00 0 0
069 069 069 255 5.11755419 -10.364914 -1.2304740 0.10 00 0 0
069 069 069 255 5.11755419 -10.911118 -1.2304740 0.10 00 0 0
069 069 069 255 5.11755419 -11.457321 -1.2304740 0.10 00 0 0
%hubintroof_sfse
